file,class,method,variable,usage
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/CustomerCheckIn.java,CustomerCheckIn,comboroomtypeItemStateChanged/1[java.awt.event.ItemEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/CustomerCheckIn.java,CustomerCheckIn,comboroomtypeItemStateChanged/1[java.awt.event.ItemEvent],con,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/CustomerCheckIn.java,CustomerCheckIn,comboroomtypeItemStateChanged/1[java.awt.event.ItemEvent],e,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/CustomerCheckIn.java,CustomerCheckIn,txtadharFocusLost/1[java.awt.event.FocusEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/CustomerCheckIn.java,CustomerCheckIn,txtaddresFocusLost/1[java.awt.event.FocusEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/CustomerCheckIn.java,CustomerCheckIn,txtemailKeyPressed/1[java.awt.event.KeyEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/CustomerCheckIn.java,CustomerCheckIn,combogenderKeyPressed/1[java.awt.event.KeyEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/Home.java,Home$Anonymous5,actionPerformed/1[java.awt.event.ActionEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,main/1[java.lang.String[]],args,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,main/1[java.lang.String[]],ex,7
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,main/1[java.lang.String[]],info,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,jButton3ActionPerformed/1[java.awt.event.ActionEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,txtemailKeyTyped/1[java.awt.event.KeyEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,jButton1MouseEntered/1[java.awt.event.MouseEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,jButton1MouseMoved/1[java.awt.event.MouseEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,jButton1ActionPerformed/1[java.awt.event.ActionEvent],pst,8
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,jButton1ActionPerformed/1[java.awt.event.ActionEvent],rs,4
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,jButton1ActionPerformed/1[java.awt.event.ActionEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,jButton1ActionPerformed/1[java.awt.event.ActionEvent],con,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,jButton1ActionPerformed/1[java.awt.event.ActionEvent],ex,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,jButton2ActionPerformed/1[java.awt.event.ActionEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,txtemailKeyPressed/1[java.awt.event.KeyEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,txtpasswordKeyPressed/1[java.awt.event.KeyEvent],pst,8
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,txtpasswordKeyPressed/1[java.awt.event.KeyEvent],rs,4
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,txtpasswordKeyPressed/1[java.awt.event.KeyEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,txtpasswordKeyPressed/1[java.awt.event.KeyEvent],con,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,txtpasswordKeyPressed/1[java.awt.event.KeyEvent],ex,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,jLabel4MouseClicked/1[java.awt.event.MouseEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,jButton4ActionPerformed/1[java.awt.event.ActionEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,jButton4ActionPerformed/1[java.awt.event.ActionEvent],yes,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,jButton1MouseExited/1[java.awt.event.MouseEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,txtemailKeyReleased/1[java.awt.event.KeyEvent],a,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,txtemailKeyReleased/1[java.awt.event.KeyEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,txtemailKeyReleased/1[java.awt.event.KeyEvent],b,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,txtemailKeyReleased/1[java.awt.event.KeyEvent],s,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,txtemailKeyReleased/1[java.awt.event.KeyEvent],splitString,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/SignIn.java,SignIn,txtemailActionPerformed/1[java.awt.event.ActionEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/Home.java,Home$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/Home.java,Home$Anonymous6,actionPerformed/1[java.awt.event.ActionEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ManageRoom.java,ManageRoom,jButton3ActionPerformed/1[java.awt.event.ActionEvent],bed,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ManageRoom.java,ManageRoom,jButton3ActionPerformed/1[java.awt.event.ActionEvent],pst,6
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ManageRoom.java,ManageRoom,jButton3ActionPerformed/1[java.awt.event.ActionEvent],evt,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ManageRoom.java,ManageRoom,jButton3ActionPerformed/1[java.awt.event.ActionEvent],con,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ManageRoom.java,ManageRoom,jButton3ActionPerformed/1[java.awt.event.ActionEvent],e,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ManageRoom.java,ManageRoom,jButton3ActionPerformed/1[java.awt.event.ActionEvent],type,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ManageRoom.java,ManageRoom,main/1[java.lang.String[]],args,0
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ManageRoom.java,ManageRoom,main/1[java.lang.String[]],ex,7
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ManageRoom.java,ManageRoom,main/1[java.lang.String[]],info,2
